;Arr;Dep;Approx_enter;Label;Shunting;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";16:16;16:16;;Zabrze ;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda)"", 2, ""3"", ""(4)""";;;;;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";;;;;;
"""RCB"", ""ST"", 2, ""(1)""";;;;;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";;;;;;
"""RCB-CB-2"", ""SBL+PO(Œwiêtoch³owice)"", 2, ""2"", ""(3)""";;;;;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";;;;;;
"""CB"", ""ST"", 2, ""(1)""";;;;;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;;;
"""KTC-KO-1"", ""SBL+PO(ZaÅ‚Ä™Å¼e)"", 2, ""1"", ""(2)""";;;;;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";;;;;;
"""KO"", ""ST"", 2, ""(3)""";16:31;16:35;;Katowice;;
"""KO"", ""ST"", 114, ""(N/A)""";;;;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";;;;;;
"""KZ"", ""ST"", 2, ""(1)""";;;;;;
to Gdynia GÅ‚Ã³wna via Warszawa;;;;;;
####;;;;;;
KS - Os;;;;;;
94317;;;;;;
S8;;;;;;
from OÅ›wiÄ™cim;;;;;;
"""KZ"", ""ST"", 3, ""(2)""";16:39;16:39;;Katowice Zawodzie;;
"""KZ-KO"", ""SBL+Sem(ST)"", 3, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;;;
"""KO"", ""ST"", 7, ""(1)""";16:44;16:50;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";16:53;16:53;;Katowice ZaÅ‚Ä™Å¼e;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;;;
"""CB"", ""ST"", 3, ""(2)""";16:57;16:58;;ChorzÃ³w Batory;;
"""CB-CM"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""CM"", ""ST"", 1, ""(1)""";17:03;17:03;;ChorzÃ³w Miasto;;
"""CM-CS"", ""Sem(odstêp)"", 1, ""1"", ""(1)""";;;;;;
to Lubliniec;;;;;;
####;;;;;;
KS - Os;;;;;;
44717;;;;;;
S7;;;;;;
